
Minimum & Actial costs of Hospitals in the COS and C technologies

DMU            C            COS         NC=CIS=WACM     Actual Cost
j150       1246.151       1369.002       1369.002       1369.002
j151        954.002        954.002        954.002        954.002
j152        312.397        419.414        440.002        440.002
j153       2749.001       2749.001       2749.001       2749.001
j154       1664.111       2194.095       3186.997       3186.997
j155       2254.652       3252.164       3252.164       3560.999
j156        739.997       1574.613       2017.555       2278.000
j157       2823.158       3871.001       3871.001       3871.001
j158       1284.797       1947.587       2370.000       2370.000
j159       1623.059       2304.998       2304.998       2304.998
j160       2378.151       3017.618       3879.994       3879.994
j161       1256.015       1899.130       2251.000       2251.000
j162       1731.729       2434.696       2890.995       2890.995
j163       1306.463       1818.823       2031.515       2786.001
j164       1290.404       1758.433       1976.451       2715.999
j165       1699.944       2220.296       3269.002       3269.002
j166        842.305       1502.136       1887.790       2468.998
j167       1530.403       2290.781       2374.999       2374.999
j168       2429.460       2528.000       2528.000       2528.000
j169       1737.554       2658.999       2658.999       2658.999
j170       2526.113       3480.422       4143.997       4143.997
j171       1236.196       1582.531       2018.000       2018.000
j172       1370.849       2001.057       2978.772       3300.000
j173       2840.001       2840.001       2840.001       2840.001
j174       1782.373       2638.999       2638.999       2638.999
j175        980.886       1482.207       2120.765       2428.000
j176       1192.936       1928.285       2084.995       2084.995
j177       1170.992       1869.573       2193.002       2193.002
j178       2505.228       3571.995       3571.995       3571.995
j179       2581.780       3127.000       3127.000       3127.000
j180       2071.297       2091.999       2091.999       2091.999
j181       1707.971       2531.867       2800.997       2800.997
j182       1741.142       2265.024       3006.986       3006.986
j183       2054.503       2721.998       2721.998       2721.998
j184       2799.387       2900.996       2900.996       2900.996
j185       2240.181       3794.006       3794.006       3794.006
j186       1789.094       2467.453       2678.998       2678.998
j187       3059.730       4249.000       4249.000       4249.000
j188       3897.494       4623.002       4623.002       4623.002
j189       1933.454       2687.743       3067.309       3827.000
j190        747.416       1263.931       1684.771       1985.997
j191       1440.954       1881.890       2072.000       2072.000
j192       1750.953       2195.000       2195.000       2195.000
j193       2080.961       2488.921       2812.003       2812.003
j194       2174.993       2991.329       3981.998       3981.998
j195       2477.745       3351.995       3351.995       3351.995
j196       1989.850       2545.487       3150.022       3720.002
